DATE,NYGDPPCAPKDFRA
1970-01-01,17605.6389691523
1971-01-01,18377.8689100373
1972-01-01,19041.7897266489
1973-01-01,20091.194013856
1974-01-01,20813.444898838
1975-01-01,20498.348081584
1976-01-01,21291.988987842
1977-01-01,21925.8324016685
1978-01-01,22687.6115069004
1979-01-01,23378.2949932212
1980-01-01,23618.3996174718
1981-01-01,23733.5935655434
1982-01-01,24187.0947668643
1983-01-01,24356.6592918128
1984-01-01,24600.9923558634
1985-01-01,24870.505820141
1986-01-01,25319.3150945387
1987-01-01,25830.2389767847
1988-01-01,26912.1812064054
1989-01-01,27938.4697567247
1990-01-01,28617.4435701151
1991-01-01,28664.1318783352
1992-01-01,28977.8889025406
1993-01-01,28670.8863286782
1994-01-01,29237.535511328
1995-01-01,29745.1287289494
1996-01-01,30057.9655533345
1997-01-01,30650.7444765253
1998-01-01,31633.1477495769
1999-01-01,32546.9340522187
2000-01-01,33592.4668300573
2001-01-01,34009.8623977368
2002-01-01,34146.3062683243
2003-01-01,34183.6633444538
2004-01-01,34893.5298119974
2005-01-01,35208.855797143
2006-01-01,35821.8719947773
2007-01-01,36464.9592682158
2008-01-01,36354.6586641081
2009-01-01,35129.3622360858
2010-01-01,35638.1215603451
2011-01-01,36244.1871625918
2012-01-01,36182.1511275816
2013-01-01,36203.1908693774
2014-01-01,36378.6186614699
2015-01-01,36652.9223052178
2016-01-01,36956.7958003293
2017-01-01,37694.0833027304
2018-01-01,38259.6977698474
2019-01-01,38832.0242014303
2020-01-01,35806.6178917772
2021-01-01,38002.1942362252
2022-01-01,38816.4792795643
